Name	Type	Park Code	Org Code	Region
BOSTON HARBOR ISLANDS  	NRA	BOHA	1727	NER
BRICES CROSS ROADS	NB Site	BRCR		SER
BROWN V. BOARD OF EDUCATION       	NHS	BRVB	6145	MWR
BRYCE CANYON    	NP	BRCA	1330-1336	IMR
BUCK ISLAND REEF    	NM	BUIS	5270	SER
BUFFALO     	NR	BUFF	7150-7159	MWR
CABRILLO    	NM	CABR	8110	PWR
CANAVERAL    	NS	CANA	5180	SER
CANE RIVER CREOLE	NHP	CARI	5720	SER
CANYON DE CHELLY    	NM	CACH	7390	IMR
CANYONLANDS    	NP	CANY	1341-1347	IMR
CAPE COD    	NS	CACO	1730	NER
CAPE HATTERAS    	NS	CAHA	5185-5200	SER
CAPE KRUSENSTERN    	NM	CAKR		AKR
CAPE LOOKOUT    	NS	CALO	5210	SER
CAPITOL REEF    	NP	CARE	1350	IMR
CAPULIN VOLCANO    	NM	CAVO	7160	IMR
CARL SANDBURG HOME      	NHS	CARL	5160	SER
CARLSBAD CAVERNS    	NP	CAVE	7171-7179	IMR
CARTER G. WOODSON HOME	NHS	CAWO		NCR
CASA GRANDE RUINS    	NM	CAGR	8610	IMR
CASTILLO de SAN MARCOS    	NM	CASA	5260	SER
CASTLE CLINTON 	NM	CACL	1812	NER
CASTLE MOUNTAIN	NM	CAMO	8380-8388	PWR
CATOCTIN MOUNTAIN  	PARK	CATO	3201	NCR
CEDAR BREAKS    	NM	CEBR	1360	IMR
CEDAR CREEK & BELLE GROVE	NHP	CEBE	4240	NER
CESAR E. CHAVEZ	NM	CECH	8551	PWR
CHANNEL ISLANDS    	NP	CHIS	8120-8129	PWR
CHACO CULTURE    	NHP	CHCU	7400	IMR
CHAMIZAL    	NMEM	CHAM	7210-7219	IMR
CHARLES PINCKNEY       	NHS	CHPI	5440	SER
CHARLES YOUNG BUFFALO SOLDIERS	NM	CHYO	6240	MWR
CHATTAHOOCHEE RIVER     	NRA	CHAT	5340	SER
CHESAPEAKE AND OHIO CANAL   	NHP	CHOH	3101-3118	NCR
CHICKAMAUGA AND CHATTANOOGA   	NMP	CHCH	5220-5221	SER
CHICKASAW    	NRA	CHIC	7510-7519	IMR
CHIRICAHUA    	NM	CHIR	8620	IMR
CHRISTIANSTED       	NHS	CHRI	5380	SER
CITY OF ROCKS NATIONAL RESERVE	OTHER	CIRO	9606	PWR
CLARA BARTON  	NHS	CLBA	3340	NCR
COLONIAL 	NHP	COLO	4290-4299	NER
COLORADO    	NM	COLM	1378	IMR
COLTSVILLE**	NHP	COLT	**Authorized NOT established	NER
CONGAREE      	NP	CONG	5240	SER
CONSTITUTION GARDENS	OTHER	COGA		NCR
CORONADO    	NMEM	CORO	8630	IMR
COWPENS     	NB	COWP	5510	SER
CRATER LAKE    	NP	CRLA	9320 - 9324	PWR
CRATERS OF THE MOON    	NPRES	CRMO	9280	PWR
CRATERS OF THE MOON    	NM	CRMO	9280	PWR
CUMBERLAND GAP      	NHP	CUGA	5230	SER
CUMBERLAND ISLAND     	NS	CUIS	5630	SER
CURECANTI    	NRA	CURE	1379	IMR
CUYAHOGA VALLEY     	NP	CUVA	6160-6169	MWR
DAYTON AVIATION HERITAGE	NHP	DAAV	6295	MWR
DEATH VALLEY    	NP	DEVA	8130-8138	PWR
DE SOTO     	NMEM	DESO	5300	SER
DELAWARE WATER GAP 	NRA	DEWA	4320	NER
DENALI     	NP	DENA	"9830-9834, 
9836-9839"	AKR
DENALI     	NPRES	DENA	"9830-9834, 
9836-9839"	AKR
DEVILS TOWER    	NM	DETO	1390	IMR
DINOSAUR    	NM	DINO	1400-1405	IMR
DEVILS POSTPILE    	NM	DEPO	8590	PWR
DRY TORTUGAS     	NP	DRTO	5281-5299	SER
EBEY'S LANDING NATIONAL HISTORICAL RESERVE  	OTHER	EBLA	9290	PWR
EDGAR ALLAN POE  	NHS	EDAL	4330	NER
EFFIGY MOUNDS     	NM	EFMO	6290	MWR
EISENHOWER  	NHS	EISE	4410	NER
EL MALPAIS    	NM	ELMA	7190	IMR
EL MORRO    	NM	ELMO	7410	IMR
ELEANOR ROOSEVELT   	NHS	ELRO		NER
EUGENE O'NEILL      	NHS	EUON	8190	PWR
EVERGLADES     	NP	EVER	5281-5299	SER
FEDERAL HALL 	NMEM	FEHA		NER
FIRE ISLAND    	NS	FIIS	1750	NER
FIRST LADIES'       	NHS	FILA		MWR
FIRST STATE	NHP	FRST		NER
FLIGHT 93  	NMEM	FLNI	4140	NER
FLORISSANT FOSSIL BEDS    	NM	FLFO	1410	IMR
FORD'S THEATRE  	NHS	FOTH	3460-3466	NCR
FORT BOWIE      	NHS	FOBO	8640	IMR
FORT CAROLINE     	NMEM	FOCA	5310	SER
FORT DAVIS      	NHS	FODA	5310	IMR
FORT DONELSON  	NB	FODO	5400&5409	SER
FORT FREDERICA     	NM	FOFR	5410	SER
FORT LARAMIE      	NHS	FOLA	1420	IMR
FORT LARNED       	NHS	FOLS	6340	MWR
FORT MATANZAS     	NM	FOMA	5281-5299	SER
FORT MCHENRY NATIONAL MONUMENT AND HISTORIC SHRINE	OTHER	FOMC	4340	NER
FORT MONROE	NM	FOMR		NER
FORT NECESSITY  	NB	FONE	4160	NER
FORT POINT      	NHS	FOPO	8160	PWR
FORT PULASKI     	NM	FOPU	5420	SER
FORT RALEIGH       	NHS	FORA	5185	SER
FORT SCOTT       	NHS	FOSC	6350	MWR
FORT SMITH       	NHS	FOSM	7320	MWR
FORT STANWIX 	NM	FOST	1760	NER
FORT SUMTER                                (includes Fort Moultrie-FOMO)	NM	FOSU	5430&5440	SER
FORT UNION    	NM	FOUN	7230	IMR
FORT UNION TRADING POST       	NHS	FOUS	1549	MWR
FORT VANCOUVER      	NHS	FOVA	9430	PWR
FOVA unit: McLoughlin House		FOVA	9430	PWR
FORT WASHINGTON  	PARK	FOWA		NCR
FOSSIL BUTTE    	NM	FOBU	1468	IMR
FRANKLIN DELANO ROOSEVELT  	NMEM	FRDE		NCR
FREDERICK DOUGLASS 	NHS	FRDO		NCR
FREDRICK LAW OLMSTED  	NHS	FRLA	1850	NER
FREDRICKSBURG & SPOTSYLVANIA 	NMP	FRSP	4370/4378/ 4379	NER
FREEDOM RIDERS	NM	FRRI	5740	SER
FRIENDSHIP HILL  	NHS	FRHI	4360	NER
GATES OF THE ARCTIC    	NP	GAAR		AKR
GATES OF THE ARCTIC     	NPRES	GAAR		AKR
GATEWAY  	NRA	GATE	1770	NER
GATEWAY ARCH NATIONAL PARK	MEM	JEFF		MWR
GAULEY    	NRA	GARI		NER
GENERAL GRANT  	NMEM	GEGR	1814	NER
GEORGE ROGERS CLARK    	NHP	GERO	6402	MWR
GEORGE WASHINGTON BIRTHPLACE	NM	GEWA	4380	NER
GEORGE WASHINGTON CARVER     	NM	GWCA	6360	MWR
GEORGE WASHINGTON MEMORIAL PARKWAY (Arlington House, Great Falls Park, Glen Echo Park, Clara Barton NHS, Arlington Cemetery, Jones Point Park, Fort Hunt Park, Theodore Roosevelt Island NM)	MEMPW	GWMP	3301-3321	NCR
GETTYSBURG  	NMP	GETT	4400	NER
GILA CLIFF DWELLINGS    	NM	GICL	7250	IMR
GLACIER    	NP	GLAC	1430 - 1437	IMR
GLACIER BAY    	NP	GLBA	9815	AKR
GLACIER BAY     	NPRES	GLBA	9815	AKR
GLEN CANYON    	NRA	GLCA	1440-1444	IMR
GOLDEN GATE    	NRA	GOGA	8140 - 8180	PWR
GOLDEN SPIKE      	NHS	GOSP	1450	IMR
GOVERNORS ISLAND	NM	GOIS	1766	NER
GRAND CANYON    	NP	GRCA	8211-8227	IMR
GRAND CANYON PARASHANT	NM	PARA	8230	PWR
GRAND PORTAGE     	NM	GRPO	6150	MWR
GRAND TETON    	NP	GRTE	1460 - 1467	IMR
GRANT-KOHRS RANCH      	NHS	GRKO	1586	IMR
GREAT BASIN    	NP	GRBA	8420	PWR
GREAT EGG HARBOR 	S&RR	GREG		NER
GREAT SAND DUNES    	NP	GRSA	1470	IMR
GREAT SAND DUNES      	PRES	GRSA	1470	IMR
GREAT SMOKY MOUNTAINS     	NP	GRSM	5460	SER
GREENBELT  	PARK	GREE		NCR
GUADALUPE MOUNTAINS    	NP	GUMO	7181-7189	IMR
GUILFORD COURTHOUSE       	NMP	GUCO	5170	SER
GULF ISLANDS     	NS	GUIS	5320-5326	SER
HAGERMAN FOSSIL BEDS    	NM	HAFO	9608 9360	PWR
HALEAKALA    	NP	HALE	8291-8299	PWR
HAMILTON GRANGE NM	NMEM	HAGR	1815	NER
HAMPTON  	NHS	HAMP	4350	NER
HARPERS FERRY   	NHP	HAFE	3851-3856	NCR
HARRIET TUBMAN 	NHP	HART		NER
HARRIET TUBMAN UNDERGROUND RAILROAD	NHP	HATU		NER
HARRY S TRUMAN       	NHS	HSTR	6460	MWR
HAWAII VOLCANOES    	NP	HAVO	8301-8306	PWR
HERBERT HOOVER       	NHS	HEHO	6470	MWR
HOHOKAM PIMA    	NM	PIMA		IMR
HOME OF FRANKLIN D. ROOSEVELT  	NHS	HOFR		NER
HOMESTEAD     	NM	HOME	6480	MWR
HONOULIULI	NM	HONO	8890	PWR
HOPEWELL CULTURE       	NHP	HOCU	6514	MWR
HOPEWELL FURNACE  	NHS	HOFU	4430	NER
HORSESHOE BEND       	NMP	HOBE	5480	SER
HOT SPRINGS     	NP	HOSP	7300-7309	MWR
HOVENWEEP    	NM	HOVE	1347	IMR
HUBBELL TRADING POST      	NHS	HUTR	7420	IMR
INDEPENDENCE  	NHP	INDE	4450	NER
INDIANA DUNES     	NL	INDU	6300	MWR
ISLE ROYALE     	NP	ISRO	6310	MWR
JAMES A. GARFIELD       	NHS	JAGA	6170, 6380	MWR
JEAN LAFITTE    	NHP & PRES	JELA	7530-7539	SER
JEWEL CAVE     	NM	JECA	1569	MWR
JIMMY CARTER       	NHS	JICA	5690	SER
JOHN DAY FOSSIL BEDS    	NM	JODA	9325	PWR
JOHN D. ROCKEFELLER, JR., 	MEMPW	JODR		IMR
JOHN FITZGERALD KENNEDY  	NHS	JOFI	1850 (1805)	NER
JOHN MUIR      	NHS	JOMU	8510	PWR
JOHNSTOWN FLOOD NM	NMEM	JOFL	4150	NER
JOSHUA TREE    	NP	JOTR	8330-8337	PWR
KALAUPAPA     	NHP	KALA	8896	PWR
KALOKO-HONOKOHAU     	NHP	KAHO	8320	PWR
KATAHDIN WOODS AND WATERS	NM	KAWW		NER
KATMAI     	NP	KATM	9796	AKR
KATMAI      	NPRES	KATM	9796	AKR
KENAI  FJORDS     	NP	KEFJ	9845	AKR
KENNESAW MOUNTAIN       	NBP	KEMO	5490	SER
KEWEENAW       	NHP	KEWE	6410	MWR
KINGS CANYON    	NP	SEKI	8510	PWR
KINGS MOUNTAIN       	NMP	KIMO	5500	SER
KLONDIKE GOLD RUSH   	NHP	KLSE	9580	PWR
KLONDIKE GOLD RUSH   	NHP	"KLGO
"	9825	"AKR
"
KNIFE RIVER  INDIAN VILLAGES       	NHS	KNRI	1548	MWR
KOBUK VALLEY    	NP	KOVA		AKR
KOREAN WAR VETERANS  	NMEM	KOWA		NCR
LAKE CHELAN  	NRA	LACH		PWR
LAKE CLARK     	NP	LACL	9855	AKR
LAKE CLARK      	NPRES	LACL	9855	AKR
LAKE MEAD    	NRA	LAKE	8360	PWR
LAKE ROOSEVELT    	NRA	LARO	9260	PWR
LASSEN VOLCANIC    	NP	LAVO	8400	PWR
LAVA BEDS    	NM	LABE	8410	PWR
LAKE MEREDITH    	NRA	LAMR	7540-7550	IMR
LEWIS AND CLARK  	NHP	FOCL	9420	PWR
LINCOLN  	MEM	LIME		NCR
LINCOLN BOYHOOD     	NMEM	LIBO	6400	MWR
LINCOLN HOME        	NHS	LIHO	6530	MWR
LITTLE BIGHORN      	NM	LIBI	1320	IMR
LITTLE RIVER CANYON     	NPRES	LIRI	5279	SER
LITTLE ROCK CENTRAL HIGH SCHOOL 	NHS	CHSC	7310	MWR
LONGFELLOW HOUSE -WASHINGTON'S HEADQUARTERS	NHS	LONG	1850 (1800)	NER
LOWELL  	NHP	LOWE	1780	NER
LYNDON B. JOHNSON    	NHP	LYJO	"
7350-7359"	IMR
LYNDON BAINES JOHNSON MEMORIAL GROVE ON THE POTOMAC	NMEM	GWMP	3301-3321	NCR
MAGGIE L. WALKER  	NHS	MAWA	4790	NER
MAMMOTH CAVE     	NP	MACA	5530-5536	SER
MANASSAS      	NBP	MANA	3840	NCR
MANHATTAN PROJECT	NHP	MAPR	1480	IMR
MANHATTAN PROJECT                                      Los Alamos Unit		MAPR	1480	
MANHATTAN PROJECT_Oak Ridge, TN Unit		MAPR	1480	
MANHATTAN PROJECT- Richland, WA Unit	NHP	MAPR		PWR
MANZANAR      	NHS	MANZ	8760	PWR
MARSH-BILLINGS-ROCKEFELLER  	NHP	MABI	1818	NER
MARTIN LUTHER KING, JR.	NMEM			NCR
MARTIN LUTHER KING, JR.	NHP	MALU	5560	SER
MARTIN VAN BUREN  	NHS	MAVA	1950	NER
MARY MCLEOD BETHUNE COUNCIL HOUSE  	NHS	MAMC		NCR
MESA VERDE    	NP	MEVE	1490-1496	IMR
MINUTE MAN  	NHP	MIMA	1820	NER
MINUTEMAN MISSILE       	NHS	MIMI	1305	MWR
MISSISSIPPI NATIONAL RIVER AND RECREATION AREA	NR&RA	MISS	1305	MWR
MISSOURI NATIONAL RECREATIONAL RIVER	NRR	MNRR	1305	MWR
MOJAVE    	NP&PRES	MOJA	"
8380-8388
"	PWR
MONOCACY    	NB	MONO	3130-3150	NCR
MONTEZUMA CASTLE    	NM	MOCA	8650	IMR
MOORES CREEK     	NB	MOCR	5550	SER
MORRISTOWN	NHP	MORR	1830	NER
MOUNT RAINIER    	NP	MORA	9450-9458	PWR
MOUNT RUSHMORE     	NMEM	MORU	1305	MWR
MUIR WOODS    	NM	MUWO	8180	PWR
NATCHEZ   	NHP	NATC	5565	SER
NATCHEZ TRACE NATIONAL SCENIC TRAIL       	NST	NATR	5570-5578 	SER
NATCHEZ TRACE PARKWAY  	PW	NATR	5570-5578 	SER
NATIONAL  MALL	OTHER	NAMA	3401-3430	NCR
NATIONAL CAPITAL PARKS - EAST (includes Fort Washington, Frederick Douglass, Greenbelt Park, Mary McLeod Bethune Council House, Oxen Hill, Carter G. Woodson, etc.)	OTHER	NACE	3501-3564	NCR
NATIONAL MALL AND MEMORIAL PARKS	OTHER	NAMA	3401-3430	NCR
MINIDOKA     	NHS	MIIN	9360	PWR
NATIONAL PARK  OF AMERICAN SAMOA	NP	NPSA	8770	PWR
NATURAL BRIDGES    	NM	NABR	1349	IMR
NAVAJO    	NM	NAVA	7430	IMR
NEW BEDFORD WHALING 	NHP	NEBE	1842	NER
NEW ORLEANS JAZZ    	NHP	JAZZ	5705	SER
NEW RIVER GORGE 	NR	NERI	4780/4783-4788	NER
NEZ PERCE    	NHP	NEPE	9370-9377	PWR
NICODEMUS       	NHS	NICO	6345	MWR
NINETY SIX       	NHS	NISI	5610	SER
NIOBRARA       	NSR	NIOB	6630	MWR
NOATAK    	NPRES	NOAT		AKR
NORTH CASCADES    	NP	NOCA	9470-9479	PWR
OBED      	W&SR	OBRI	5640	SER
OCMULGEE     	NM	OCMU	5620	SER
OLYMPIC    	NP	OLYM	9500-9512	PWR
OREGON CAVES    	NM&PRE	ORCA	9340	PWR
ORGAN PIPE CACTUS    	NM	ORPI	8660	IMR
OVERMOUNTAIN VICTORY	NHT	OVVI	5520	SER
OZARK NATIONAL SCENIC RIVERWAY	NSR	OZAR	6640	MWR
PADRE ISLAND    	NS	PAIS	7490-7499	IMR
PALO ALTO        	NHP	PAAL	7580	IMR
PARASHANT	NM	PARA		PWR
PATERSON GREAT FALLS	NHP	PAGR		NER
PEA RIDGE       	NMP	PERI	7330	MWR
PEARL HARBOR (USS Arizona) (Honouliuli NM) 	NMEM	PERL	8895	PWR
PECOS    	NHP	PECO	7500	IMR
PENNSYLVANIA AVENUE  	NHS	PAAV		NCR
PERRY’S VICTORY AND INTERNATIONAL PEACE MEMORIAL	NMEM	PEVI	6516	MWR
PETERSBURG      	NB	PETE	4770	NER
PETRIFIED FOREST    	NP	PEFO	8430	IMR
PETROGLYPH    	NM	PETR	7570	IMR
PICTURED ROCKS     	NL	PIRO	6516	MWR
PIPE SPRING    	NM	PISP	1510	IMR
PIPESTONE     	NM	PIPE	6540	MWR
PINNACLES    	NP	PINN	8450	PWR
PISCATAWAY  	PARK	PISC		NCR
POINT REYES    	NS	PORE	8450	PWR
PU'UHONUA O HONAUNAU     	NHP	PUHO	8280-8283	PWR
PU'UKOHOLA HEIAU      	NHS	PUHE	8310-8313	PWR
PORT CHICAGO NAVAL MAGAZINE	NM	POCH	8500	PWR
POTOMAC HERITAGE      	NST	POHT	3991	NCR
POVERTY POINT STATE    	NM	POPO		SER
PRESIDENT WILLIAM JEFFERSON CLINTON BIRTHPLACE HOME	NHS	WICL	6365	MWR
PRINCE WILLIAM FOREST PARK	OTHER	PRWI	3701-3714	NCR
PULLMAN	NM	PULL		MWR
RAINBOW BRIDGE    	NM	RABR	1449	IMR
RECONSTRUCTION ERA	NM	REER	5750	SER
REDWOOD	NP	REDW	8480	PWR
RICHMOND      	NBP	RICH	4800-4804	NER
RIO GRANDE      	W&SR	RIGR	7560	IMR
RIVER RAISIN 	NBP	RIRA	6495	MWR
ROCK CREEK  	PARK	ROCR	3451-3459	NCR
ROCKY MOUNTAIN    	NP	ROMO	1520-1529	IMR
ROGER WILLIAMS  	NMEM	ROWI	1860	NER
ROSIE THE RIVETER/WWII HOME FRONT    	NHP	RORI	8490	PWR
ROSS LAKE  	NRA	ROLA	9490	PWR
RUSSELL CAVE     	NM	RUCA	5660	SER
SAGAMORE HILL  	NHS	SAHI	1880	NER
SAGUARO    	NP	SAGU	8670	IMR
SAINT CROIX      	NSR	SACN	6590	MWR
SAINT CROIX ISLAND INTERNATIONAL HISTORIC SITE     	OTHER	SACR	1708	NER
SAINT PAUL'S CHURCH  	NHS	SAPA	1890	NER
SAINT-GAUDENS  	NHS	SAGA	1915	NER
SALEM MARITIME  	NHS	SAMA	1900	NER
SALINAS PUEBLO MISSIONS    	NM	SAPU	7260	IMR
SALT RIVER BAY 	NHP & ECO PRES	SARI	0	SER
SAN ANTONIO MISSIONS   	NHP	SAAN	7600-7609	IMR
SAN FRANCISCO MARITIME    	NHP	SAFR	8520	PWR
SANTA MONICA MOUNTAINS    	NRA	SAMO	8540-8549	PWR
SAN JUAN	NHS	SAJU	5331-5334	SER
SAN JUAN ISLAND   	NHP	SAJH	9530	PWR
SEQUOIA    	NP	SEKI	8551-8564	PWR
SAND CREEK MASSACRE	NHS	SAND	1315	IMR
SARATOGA NATIONAL HISTORICAL PARK	NHP	SARA	1910	NER
SAUGUS IRON WORKS  	NHS	SAIR	1920	NER
SCOTTS BLUFF     	NM	SCBL	6700	MWR
SELMA TO MONTGOMERY	NHT	SEMO	5685	SER
SHENANDOAH  	NP	SHEN	4840-4847	NER
SHILOH       	NMP	SHIL	5580&5589	SER
SITKA    	NHP	SITK	9835	AKR
SLEEPING BEAR DUNES     	NL	SLBE	6620	MWR
SPRINGFIELD ARMORY  	NHS	SPAR	1930	NER
STATUE OF LIBERTY AND ELLIS ISLAND	NM	STLI	1940	NER
STEAMTOWN  	NHS	STEA	4810	NER
STE GENEVIEVE (*Authorized not established)	NHP	STGE*		MWR
STONES RIVER       	NB	STRI	5580&5589	SER
STONEWALL 	NM	STON		NER
SUNSET CRATER VOLCANO    	NM	SUCR	7475	IMR
TALLGRASS PRAIRIE     	NPRES	TAPR	6355	MWR
THADDEUS KOSCIUSZKO  	NMEM	THKO	4460	NER
THEODORE ROOSEVELT     	NP	THRO	1540 - 1545	MWR
THEODORE ROOSEVELT BIRTHPLACE  	NHS	THRB	1816	NER
THEODORE ROOSEVELT ISLAND  	NMEM	THIS		NCR
THOMAS EDISON      	NHP	EDIS	1840	NER
THOMAS JEFFERSON  	MEM	THJE		NCR
THOMAS STONE  	NHS	THST	4850	NER
TIMPANOGOS CAVE    	NM	TICA	1550	IMR
TIMUCUAN ECOLOGICAL     	PRES	TIMU	5308	SER
TONTO    	NM	TONT	8680	IMR
TULE LAKE	NM	TULE	8410	PWR
TULE SPRINGS FOSSIL BEDS	NM	TUSK	8379	PWR
TUMACACORI     	NHP	TUMA	8690	IMR
TUPELO      	NB	TUPE		SER
TUSKEGEE AIRMEN       	NHS	TUAI	5682	SER
TUSKEGEE INSTITUTE      	NHS	TUIN/      SEMO	5680	SER
TUZIGOOT    	NM	TUZI	8650	IMR
ULYSSES S. GRANT       	NHS	ULSG	6519	MWR
UPPER DELAWARE 	S&RR	UPDE	4870	NER
VALLES CALDERA	NPRES	VALL	"1290-1297
"	IMR
VALLEY FORGE  	NHP	VAFO	4860	NER
VANDERBILT MANSION  	NHS	VAMA		NER
VICKSBURG       	NMP	VICK	5600-5609	SER
VIETNAM VETERANS  	MEM	VIVE		NCR
VIRGIN ISLANDS     	NP	VIIS	5661-5365	SER
VIRGIN ISLANDS CORAL REEF	NM	VICR	5661-5365	SER
VOYAGEURS     	NP	VOYA	6820	MWR
WACO MAMMOTH	NM	WACO	7730	IMR
WALNUT CANYON    	NM	WACA	7475	IMR
WAR IN THE PACIFIC   	NHP	WAPA	8790	PWR
WASHINGTON MONUMENT	OTHER	WAMO		NCR
WASHITA BATTLEFIELD       	NHS	WABA	7720	IMR
WEIR FARM  	NHS	WEFA	1953	NER
WHISKEYTOWN 	NRA	WHIS	8750	PWR
WHITE HOUSE (Presidents Park  )	OTHER	PRPA		NCR
WHITE SANDS    	NM	WHSA	7810	IMR
WHITMAN MISSION      	NHS	WHMI	9550	PWR
WILLIAM HOWARD TAFT       	NHS	WIHO	6820	MWR
WILSON’S CREEK     	NB	WICR	6370	MWR
WIND CAVE     	NP	WICA	1560 - 1561	MWR
WOLF TRAP PARK FOR THE PERFORMING ARTS	OTHER	WOTR	3801-3817	NCR
WOMEN'S RIGHTS  	NHP	WORI	1955	NER
WORLD WAR I	NMEM			NCR
WORLD WAR II  	MEM	NAWO		NCR
WRANGELL-ST. ELIAS     	NP	WRST	9865	AKR
WRANGELL-ST. ELIAS     	NPRES	WRST	9865	AKR
WRIGHT BROTHERS     	NMEM	WRBR	5187	SER
WUPATKI    	NM	WUPA	7475	IMR
YELLOWSTONE    	NP	YELL	1570 -  1581	IMR
YOSEMITE    	NP	YOSE	8895	PWR
YUCCA HOUSE    	NM	YUHO	1499	IMR
YUKON-CHARLEY RIVERS      	NPRES	YUCH		AKR
ZION    	NP	ZION	1590-1596	IMR
